symbol,LTP,change,predicted_price,pChange,decision
ADANIPORTS.NS,1284.0,-0.57,1300.69,1.3,Predicted Buy Opportunity
HAPPSTMNDS.NS,757.05,1.75,755.3,-0.23,Predicted Sell
TORNTPHARM.NS,3130.65,0.45,3125.32,-0.17,Predicted Sell
CRAFTSMAN.NS,4732.4,-1.39,4740.1,0.16,Predicted Watch
ARE&M.NS,1260.0,0.42,1259.38,-0.05,Predicted Sell
QUESS.NS,638.6,-0.26,645.95,1.15,Predicted Watch
BAJFINANCE.NS,6579.55,-0.17,6592.78,0.2,Predicted Watch
WELSPUNLIV.NS,149.49,-0.84,149.49,0.0,Predicted Watch
MRPL.NS,149.45,-1.02,151.94,1.67,Predicted Watch
SHREECEM.NS,23711.5,-1.1,24001.96,1.22,Predicted Watch
ALOKINDS.NS,20.34,0.49,20.41,0.34,Predicted Watch
CYIENT.NS,1812.95,1.28,1800.39,-0.69,Predicted Sell
LUPIN.NS,2045.0,0.49,2054.56,0.47,Predicted Watch
IGL.NS,416.75,-0.76,421.21,1.07,Predicted Watch
GRINDWELL.NS,2086.55,1.26,2103.52,0.81,Predicted Watch
CIEINDIA.NS,471.5,-0.14,472.12,0.13,Predicted Watch
CHENNPETRO.NS,585.05,-1.88,598.91,2.37,Predicted Watch
CEATLTD.NS,2687.85,0.67,2707.3,0.72,Predicted Watch
ZEEL.NS,115.8,0.54,116.21,0.35,Predicted Watch
DALBHARAT.NS,1708.1,-2.07,1751.89,2.56,Predicted Watch
UNOMINDA.NS,948.15,-2.25,963.65,1.63,Predicted Watch
TATACHEM.NS,1045.45,-0.05,1051.34,0.56,Predicted Watch
POLICYBZR.NS,1677.0,2.35,1654.54,-1.34,Predicted Sell
BANDHANBNK.NS,166.14,0.08,167.08,0.57,Predicted Watch
NAVINFLUOR.NS,3277.7,2.01,3277.37,-0.01,Predicted Sell
ROUTE.NS,1424.8,0.06,1425.43,0.04,Predicted Watch
GNFC.NS,545.75,3.42,551.79,1.11,Predicted Watch
GILLETTE.NS,9787.65,1.26,9541.8,-2.51,Predicted Sell
DELHIVERY.NS,333.65,1.11,332.8,-0.25,Predicted Sell
AIAENG.NS,3503.0,-0.62,3539.33,1.04,Predicted Watch
CARBORUNIV.NS,1420.05,-0.06,1416.31,-0.26,Predicted Sell
AUBANK.NS,569.1,0.04,570.11,0.18,Predicted Watch
GODREJIND.NS,975.05,0.73,945.45,-3.04,Predicted Sell
WELCORP.NS,696.0,0.77,694.16,-0.26,Predicted Sell
JSWSTEEL.NS,935.15,-0.27,936.78,0.17,Predicted Watch
ADANIGREEN.NS,1490.85,0.48,1498.59,0.52,Predicted Watch
BRITANNIA.NS,5022.8,-0.16,5077.53,1.09,Predicted Watch
TRIVENI.NS,383.15,1.35,383.33,0.05,Predicted Watch
DIVISLAB.NS,5793.75,0.21,5788.79,-0.09,Predicted Sell
J&KBANK.NS,96.68,0.55,95.93,-0.78,Predicted Sell
CERA.NS,6794.0,-1.0,6806.01,0.18,Predicted Watch
NYKAA.NS,174.28,-0.64,173.42,-0.49,Predicted Sell
GODFRYPHLP.NS,6208.95,-1.48,6299.13,1.45,Predicted Watch
BHARTIHEXA.NS,1418.1,0.94,1422.23,0.29,Predicted Watch
AJANTPHARM.NS,2838.9,1.64,2814.46,-0.86,Predicted Sell
AMBER.NS,6110.1,-0.24,6101.98,-0.13,Predicted Sell
PGHH.NS,15542.0,-0.79,15551.9,0.06,Predicted Watch
HINDCOPPER.NS,263.75,1.05,264.56,0.31,Predicted Watch
ATGL.NS,684.95,-0.45,688.48,0.52,Predicted Watch
MGL.NS,1333.15,0.48,1344.58,0.86,Predicted Watch
MARICO.NS,597.4,-0.49,599.24,0.31,Predicted Watch
HSCL.NS,509.5,1.45,512.87,0.66,Predicted Watch
ADANIPOWER.NS,559.45,-0.36,563.96,0.81,Predicted Watch
DIXON.NS,14834.95,-0.2,14709.4,-0.85,Predicted Sell
OLECTRA.NS,1437.0,0.56,1447.16,0.71,Predicted Watch
LALPATHLAB.NS,2967.15,-0.06,2972.18,0.17,Predicted Watch
SWSOLAR.NS,486.0,2.4,488.59,0.53,Predicted Watch
ACE.NS,1245.0,0.86,1234.3,-0.86,Predicted Sell
JINDALSTEL.NS,866.4,0.46,867.13,0.08,Predicted Watch
GPIL.NS,186.43,0.64,185.95,-0.26,Predicted Sell
SJVN.NS,104.7,0.67,105.34,0.61,Predicted Watch
AFFLE.NS,1529.4,1.89,1524.48,-0.32,Predicted Sell
SUMICHEM.NS,518.3,3.03,513.37,-0.95,Predicted Sell
PAGEIND.NS,45838.45,0.39,45677.83,-0.35,Predicted Sell
ONGC.NS,252.2,-0.32,253.09,0.35,Predicted Watch
NETWORK18.NS,81.29,2.69,78.97,-2.85,Predicted Sell
SAIL.NS,112.97,0.87,112.52,-0.4,Predicted Sell
M&M.NS,2780.55,-1.29,2797.08,0.59,Predicted Watch
MAZDOCK.NS,3924.5,-0.27,3927.69,0.08,Predicted Watch
NCC.NS,279.6,-0.05,281.06,0.52,Predicted Watch
APOLLOHOSP.NS,6870.05,0.25,6882.3,0.18,Predicted Watch
RATNAMANI.NS,3530.3,0.22,3521.81,-0.24,Predicted Sell
GODREJAGRO.NS,703.05,0.68,702.61,-0.06,Predicted Sell
DABUR.NS,511.9,0.23,512.85,0.19,Predicted Watch
TECHNOE.NS,1431.9,2.5,1416.93,-1.05,Predicted Sell
HINDZINC.NS,493.35,1.72,493.34,-0.0,Predicted Sell
INDIACEM.NS,356.15,0.35,355.91,-0.07,Predicted Sell
KFINTECH.NS,979.15,1.0,977.84,-0.13,Predicted Sell
TATVA.NS,846.05,0.12,849.96,0.46,Predicted Watch
UNIPARTS.NS,427.6,-0.51,430.11,0.59,Predicted Watch
RELIGARE.NS,242.09,0.66,243.07,0.4,Predicted Watch
KAPSTON.NS,264.75,5.63,257.74,-2.65,Predicted Sell
JSWHL.NS,17654.35,-0.76,17719.04,0.37,Predicted Watch
